0.999549,0.0295991,2.9883e-08,1.00193,0.030576,8.9746e-05,1.44015e-09,1.33802e-11,4.87522e-16,1.5238,0.0273587,3.46148e-15
0.999523,0.0304446,3.26213e-08,1.00189,0.0314472,9.21871e-05,1.52361e-09,1.45778e-11,5.31196e-16,1.52379,0.0281403,3.77134e-15
0.999496,0.03129,3.55254e-08,1.00185,0.0323182,9.46182e-05,1.60943e-09,1.58449e-11,5.77408e-16,1.52378,0.028922,4.09917e-15
0.999469,0.0321354,3.86005e-08,1.00182,0.033189,9.70393e-05,1.69759e-09,1.71834e-11,6.2623e-16,1.52377,0.0297035,4.44548e-15
0.999441,0.0329807,4.18518e-08,1.00178,0.0340597,9.94501e-05,1.78811e-09,1.85952e-11,6.77734e-16,1.52376,0.0304851,4.81077e-15
0.999412,0.0338261,4.52847e-08,1.00174,0.0349302,0.00010185,1.88097e-09,2.00822e-11,7.31994e-16,1.52375,0.0312667,5.19557e-15
0.999382,0.0346714,4.89043e-08,1.0017,0.0358005,0.00010424,1.97619e-09,2.16465e-11,7.89082e-16,1.52373,0.0320483,5.60037e-15
0.999351,0.0355167,5.2716e-08,1.00165,0.0366706,0.000106618,2.07375e-09,2.329e-11,8.49072e-16,1.52372,0.0328299,6.02569e-15
0.99932,0.0363619,5.67252e-08,1.00161,0.0375405,0.000108986,2.17367e-09,2.50146e-11,9.12035e-16,1.52371,0.0336114,6.47205e-15
0.999288,0.0372072,6.09372e-08,1.00157,0.0384102,0.000111342,2.27593e-09,2.68223e-11,9.78046e-16,1.52369,0.034393,6.93995e-15
0.999255,0.0380524,6.53573e-08,1.00152,0.0392798,0.000113686,2.38055e-09,2.87151e-11,1.04718e-15,1.52368,0.0351745,7.42991e-15
0.999222,0.0388976,6.9991e-08,1.00147,0.0401491,0.000116019,2.48752e-09,3.06948e-11,1.1195e-15,1.52366,0.0359561,7.94244e-15
0.999188,0.0397427,7.48437e-08,1.00143,0.0410183,0.000118339,2.59683e-09,3.27635e-11,1.1951e-15,1.52365,0.0367376,8.47806e-15
0.999153,0.0405879,7.99208e-08,1.00138,0.0418872,0.000120648,2.7085e-09,3.49232e-11,1.27403e-15,1.52363,0.0375191,9.03727e-15
0.999117,0.041433,8.52277e-08,1.00133,0.042756,0.000122944,2.82251e-09,3.71757e-11,1.35638e-15,1.52362,0.0383007,9.62061e-15
0.999081,0.0422781,9.077e-08,1.00128,0.0436245,0.000125228,2.93888e-09,3.9523e-11,1.44222e-15,1.5236,0.0390822,1.02286e-14
0.999043,0.0431231,9.65531e-08,1.00123,0.0444928,0.000127499,3.05759e-09,4.19671e-11,1.53163e-15,1.52359,0.0398637,1.08617e-14
0.999006,0.0439681,1.02582e-07,1.00118,0.045361,0.000129757,3.17865e-09,4.45099e-11,1.62467e-15,1.52357,0.0406452,1.15205e-14
0.998967,0.0448131,1.08864e-07,1.00112,0.0462289,0.000132002,3.30207e-09,4.71534e-11,1.72142e-15,1.52355,0.0414267,1.22055e-14
0.998928,0.0456581,1.15402e-07,1.00107,0.0470966,0.000134234,3.42783e-09,4.98995e-11,1.82197e-15,1.52354,0.0422081,1.29172e-14
0.998888,0.046503,1.22204e-07,1.00102,0.0479641,0.000136452,3.55594e-09,5.27503e-11,1.92638e-15,1.52352,0.0429896,1.36561e-14
0.998847,0.0473479,1.29274e-07,1.00096,0.0488313,0.000138656,3.6864e-09,5.57075e-11,2.03472e-15,1.5235,0.0437711,1.44228e-14
